Indiv,Sex,AshFDWpM,oc_using_AshFDWpM,Rank_first_AshFDWpM_then_oc,DWpM,oc_using_DWpM,Rank_DWpM_then_oc,AshOnly,WWP,PDW
SL18-LD-5-FG2,female,-0.04329275,0.002733129,,-0.083716697,0.001164281,,0.006091541,-0.154869235,0.006174735
SL18-OI-16-FG1,female,-0.04903109,0.000531215,,-0.084136755,4.78E-07,,0.014674722,-0.252022163,-0.002365374
SL18-NL-10-FG3,female,-0.046588004,0.001592138,,-0.084587119,4.70E-07,,0.059642034,-0.481317205,-0.038242237
SL18-LD-1-FG1,female,0.023479791,0.004019208,,-0.094086844,7.01E-05,,-0.20248457,-0.454080691,0.267992443
SL18-UCONN-S78-FG3,female,-0.116720276,9.94E-08,,-0.094536415,2.99E-08,,-0.032775351,-0.314247828,-0.204476731
SL18-UCONN-S78-FG2,female,-0.116720276,9.94E-08,,-0.094536415,2.99E-08,,-0.032775351,-0.314247828,-0.204476731
SL18-UCONN-S78-FG1,female,-0.116720276,9.94E-08,,-0.094536415,2.99E-08,,-0.032775351,-0.314247828,-0.204476731
SL18-NC-12-FG1,female,-0.075628965,0.00032169,,-0.096481843,1.50E-06,,-0.115611665,-0.225964462,-0.048025346
SL18-NL-2-FG2,female,-0.164022361,8.30E-07,,-0.097231476,0.001206954,,0.027067663,-0.276290975,-0.146835855
SL18-NC-15-FG3,female,-0.170787172,1.57E-07,,-0.098220978,4.06E-08,,0.614367481,-0.246164745,-0.195241141
SL18-LD-5-FG1,female,-0.075420142,3.10E-07,,-0.09878903,9.40E-08,,-0.222205205,-0.276873999,0.058568421
SL18-OD-5-FG3,female,-0.05487603,0.001630423,,-0.098983818,1.90E-07,,-0.353310778,-0.315542175,-0.06145413
SL18-LD-1-FG3,female,0.030795213,0.000816825,,-0.099185113,7.04E-08,,-0.263540555,-0.529947791,0.415093293
SL18-CC-6-FG1,female,-0.025142891,0.001000245,,-0.100022957,2.52E-08,,0.283739592,-0.329799582,-0.134174147
SL18-OI-16-FG2,female,-0.021614567,5.68E-05,,-0.101547104,4.50E-08,,0.015347931,-0.293621393,0.119146259
SL18-NL-7-FG3,female,-0.094989219,0.002459633,,-0.108621753,0.003835667,,0.099852248,-0.46347794,0.018879887
SL18-JS-11-FG4,female,-0.087013674,0.000557667,,-0.111092068,0.000880583,,-0.129781134,-0.351868192,-0.199059246
